,staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date,spud_date,status,well_api,well_name,ogrid_name,well_latitude,well_longitude,facility_name,Facility Type,cluster,facility_latitude,facility_longitude,Nox TPY,CO TPY,VOC TPY,PM10 TPY,SO2 TPY,potential_violation,binary_violation
462,Mary Gerhart,35601,PRN20150001,6323,Notice of Intent ,Hilcorp Energy Company,ConocoPhillips - Newberry 8A & 8B,2015-03-31 14:57:00,,,4/30/2015 0:00,4/30/2015 0:00,2015-04-24 13:11:00,,,,2011-02-24 00:00:00,Active,30-045-35048,NEWBERRY #008B,HILCORP ENERGY COMPANY,36.908885999999995,-108.097908,Hilcorp - Newberry 8A and 8B,O&G-Production Facility,278.0,36.908889,-108.097778,18.3,18.6,10.3,,,Yes,1
466,Maxine Paul,35662,PRN20150001,6362,Regular-New ,Harvest Four Corners LLC,Williams Four Corners - Buena Vista Compressor Station,2015-04-20 11:57:00,,5/18/2015 12:42,8/16/2015 0:00,8/16/2015 0:00,2015-08-13 14:31:00,,,,2019-05-14 00:00:00,Active,30-045-35912,KTB 2408 32A COM #002H,"LOGOS OPERATING, LLC",36.274774,-107.69741699999999,Harvest - Buena Vista Compressor Station,O&G-Compressor Station,46.0,36.275411,-107.698439,58.5,103.4,237.0,,,No,0
467,Maxine Paul,35662,PRN20150001,6362,Regular-New ,Harvest Four Corners LLC,Williams Four Corners - Buena Vista Compressor Station,2015-04-20 11:57:00,,5/18/2015 12:42,8/16/2015 0:00,8/16/2015 0:00,2015-08-13 14:31:00,,,,2019-05-15 00:00:00,Active,30-045-35913,KTB 2408 32A COM #003H,"LOGOS OPERATING, LLC",36.274701,-107.697464,Harvest - Buena Vista Compressor Station,O&G-Compressor Station,46.0,36.275411,-107.698439,58.5,103.4,237.0,,,No,0
468,Maxine Paul,35662,PRN20150001,6362,Regular-New ,Harvest Four Corners LLC,Williams Four Corners - Buena Vista Compressor Station,2015-04-20 11:57:00,,5/18/2015 12:42,8/16/2015 0:00,8/16/2015 0:00,2015-08-13 14:31:00,,,,2019-05-13 00:00:00,Active,30-045-35911,KTB 2408 32A COM #001H,"LOGOS OPERATING, LLC",36.274846999999994,-107.69736999999999,Harvest - Buena Vista Compressor Station,O&G-Compressor Station,46.0,36.275411,-107.698439,58.5,103.4,237.0,,,No,0
475,Adam Ullom,35678,PRN20150001,6373,Notice of Intent ,"Logos Operating, LLC",Energen - Chaco 23-8-15 No 1H & No 2H,2015-04-22 10:23:00,,,5/22/2015 0:00,5/22/2015 0:00,2015-05-06 14:56:00,,,,2018-02-10 00:00:00,Active,30-045-35632,ATHENA 2308 14L #001H,"LOGOS OPERATING, LLC",36.225657,-107.658266,LOGOS Operating LLC - Chaco 23-8-15 No 1H & No 2H,O&G-Production Facility,67.0,36.225917,-107.658278,5.26,10.09,55.16,,,No,0
476,Adam Ullom,35678,PRN20150001,6373,Notice of Intent ,"Logos Operating, LLC",Energen - Chaco 23-8-15 No 1H & No 2H,2015-04-22 10:23:00,,,5/22/2015 0:00,5/22/2015 0:00,2015-05-06 14:56:00,,,,2018-02-10 00:00:00,Active,30-045-35633,ATHENA 2308 14L #002H,"LOGOS OPERATING, LLC",36.225604,-107.65828300000001,LOGOS Operating LLC - Chaco 23-8-15 No 1H & No 2H,O&G-Production Facility,67.0,36.225917,-107.658278,5.26,10.09,55.16,,,No,0
477,Adam Ullom,35678,PRN20150001,6373,Notice of Intent ,"Logos Operating, LLC",Energen - Chaco 23-8-15 No 1H & No 2H,2015-04-22 10:23:00,,,5/22/2015 0:00,5/22/2015 0:00,2015-05-06 14:56:00,,,,2018-06-07 00:00:00,Active,30-045-35876,ATHENA 2308 14L #003H,"LOGOS OPERATING, LLC",36.225737,-107.65824099999999,LOGOS Operating LLC - Chaco 23-8-15 No 1H & No 2H,O&G-Production Facility,67.0,36.225917,-107.658278,5.26,10.09,55.16,,,No,0
480,Mary Gerhart,36028,PRN20150001,6524,Notice of Intent ,Energen Resources,Energen Resources - Crow Mesa 24-08-02 no. 4H,2015-07-24 12:17:00,,,8/23/2015 0:00,8/23/2015 0:00,2015-08-21 12:26:00,,,8/28/2015 11:10,2015-08-10 00:00:00,Active,30-045-35641,CROW MESA 24 08 2 #004H,"LOGOS OPERATING, LLC",36.339208,-107.64505600000001,Energen Resources - Crow Mesa 24-08-02 no. 4H,O&G-Production Facility,76.0,36.339194,-107.645056,,,,,,Yes,1
481,Mary Gerhart,36028,PRN20150001,6524,Notice of Intent ,Energen Resources,Energen Resources - Crow Mesa 24-08-02 no. 4H,2015-07-24 12:17:00,,,8/23/2015 0:00,8/23/2015 0:00,2015-08-21 12:26:00,,,8/28/2015 11:10,2015-08-13 00:00:00,Active,30-045-35642,CROW MESA 24 08 2 #003H,"LOGOS OPERATING, LLC",36.339345,-107.645048,Energen Resources - Crow Mesa 24-08-02 no. 4H,O&G-Production Facility,76.0,36.339194,-107.645056,,,,,,Yes,1
484,Adam Ullom,36071,PRN20150001,6540,Notice of Intent ,Enduring Resources IV LLC,WPX - W Lybrook UT 735/736/737/764/765/766,2015-08-03 12:54:00,,,9/2/2015 0:00,9/2/2015 0:00,2015-08-19 14:33:00,,,,2017-04-04 00:00:00,Active,30-045-35797,W LYBROOK UNIT #767H,"ENDURING RESOURCES, LLC",36.189213,-107.772646,Enduring Resources - W Lybrook UT 765V,O&G-Production Facility,9.0,36.189192,-107.772444,14.0,24.1,79.7,3.1,,No,0
