,staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date,spud_date,status,well_api,well_name,ogrid_name,well_latitude,well_longitude,facility_name,Facility Type,cluster,facility_latitude,facility_longitude,Nox TPY,CO TPY,VOC TPY,PM10 TPY,SO2 TPY,potential_violation,binary_violation
584,Richard Poley,36658,PRN20160001,6779,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 710,712,714,750,751,752",2016-01-25 08:28:00,,,2/24/2016 0:00,2/24/2016 0:00,2016-02-24 11:51:00,,,,2017-02-27 00:00:00,Active,30-045-35803,W LYBROOK UNIT #710H,"ENDURING RESOURCES, LLC",36.228821,-107.740909,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",O&G-Tank Battery/Bulk Fuel Storage,14.0,36.228617,-107.740811,21.0,24.5,27.2,2.9,,No,0
585,Richard Poley,36658,PRN20160001,6779,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 710,712,714,750,751,752",2016-01-25 08:28:00,,,2/24/2016 0:00,2/24/2016 0:00,2016-02-24 11:51:00,,,,2017-02-24 00:00:00,Active,30-045-35776,W LYBROOK UNIT #712H,"ENDURING RESOURCES, LLC",36.228719,-107.74086100000001,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",O&G-Tank Battery/Bulk Fuel Storage,14.0,36.228617,-107.740811,21.0,24.5,27.2,2.9,,No,0
586,Richard Poley,36658,PRN20160001,6779,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 710,712,714,750,751,752",2016-01-25 08:28:00,,,2/24/2016 0:00,2/24/2016 0:00,2016-02-24 11:51:00,,,,2017-03-01 00:00:00,Active,30-045-35804,W LYBROOK UNIT #750H,"ENDURING RESOURCES, LLC",36.228873,-107.74093400000001,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",O&G-Tank Battery/Bulk Fuel Storage,14.0,36.228617,-107.740811,21.0,24.5,27.2,2.9,,No,0
587,Richard Poley,36658,PRN20160001,6779,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 710,712,714,750,751,752",2016-01-25 08:28:00,,,2/24/2016 0:00,2/24/2016 0:00,2016-02-24 11:51:00,,,,2017-02-22 00:00:00,Active,30-045-35802,W LYBROOK UNIT #714H,"ENDURING RESOURCES, LLC",36.228615999999995,-107.740812,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",O&G-Tank Battery/Bulk Fuel Storage,14.0,36.228617,-107.740811,21.0,24.5,27.2,2.9,,No,0
588,Richard Poley,36658,PRN20160001,6779,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 710,712,714,750,751,752",2016-01-25 08:28:00,,,2/24/2016 0:00,2/24/2016 0:00,2016-02-24 11:51:00,,,,2017-02-23 00:00:00,Active,30-045-35805,W LYBROOK UNIT #752H,"ENDURING RESOURCES, LLC",36.228667,-107.74083600000002,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",O&G-Tank Battery/Bulk Fuel Storage,14.0,36.228617,-107.740811,21.0,24.5,27.2,2.9,,No,0
603,Antonia Tallarico,36842,PRN20160001,6845,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - Rodeo UT No 500/501,2016-03-21 11:29:00,,,4/20/2016 0:00,4/20/2016 0:00,2016-04-06 14:18:00,,,,2017-05-31 00:00:00,Active,30-045-35796,RODEO UNIT #500H,"ENDURING RESOURCES, LLC",36.220413,-107.715566,"Enduring Resources - Rodeo UT No500,501",O&G-Production Facility,190.0,36.217803,-107.711514,24.3,24.8,83.8,3.2,,No,0
604,Antonia Tallarico,36842,PRN20160001,6845,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - Rodeo UT No 500/501,2016-03-21 11:29:00,,,4/20/2016 0:00,4/20/2016 0:00,2016-04-06 14:18:00,,,,2017-05-31 00:00:00,Active,30-045-35800,RODEO UNIT #501H,"ENDURING RESOURCES, LLC",36.220442,-107.715623,"Enduring Resources - Rodeo UT No500,501",O&G-Production Facility,190.0,36.217803,-107.711514,24.3,24.8,83.8,3.2,,No,0
614,Marvin Mascarenas,36843,PRN20160001,6846,Notice of Intent ,Enduring Resources IV LLC,WPX - Kimbeto Wash UT No768/769/770/771,2016-03-22 11:53:00,,,4/21/2016 0:00,4/21/2016 0:00,2016-04-20 13:31:00,,,,2018-09-06 00:00:00,Active,30-045-35879,KIMBETO WASH UNIT #767H,"ENDURING RESOURCES, LLC",36.220745,-107.80689199999999,"Enduring Resources - Kimbeto Wash UT No768,769,770,771",O&G-Production Facility,180.0,36.220703,-107.806936,10.6,18.9,94.3,2.1,,No,0
615,Marvin Mascarenas,36843,PRN20160001,6846,Notice of Intent ,Enduring Resources IV LLC,WPX - Kimbeto Wash UT No768/769/770/771,2016-03-22 11:53:00,,,4/21/2016 0:00,4/21/2016 0:00,2016-04-20 13:31:00,,,,2018-09-06 00:00:00,Active,30-045-35754,KIMBETO WASH UNIT #769H,"ENDURING RESOURCES, LLC",36.220663,-107.806982,"Enduring Resources - Kimbeto Wash UT No768,769,770,771",O&G-Production Facility,31.0,36.220703,-107.806936,10.6,18.9,94.3,2.1,,No,0
616,Marvin Mascarenas,36843,PRN20160001,6846,Notice of Intent ,Enduring Resources IV LLC,WPX - Kimbeto Wash UT No768/769/770/771,2016-03-22 11:53:00,,,4/21/2016 0:00,4/21/2016 0:00,2016-04-20 13:31:00,,,,2016-05-19 00:00:00,Active,30-045-35756,KIMBETO WASH UNIT #771H,"ENDURING RESOURCES, LLC",36.220539,-107.807116,"Enduring Resources - Kimbeto Wash UT No768,769,770,771",O&G-Production Facility,31.0,36.220703,-107.806936,10.6,18.9,94.3,2.1,,No,0
617,Marvin Mascarenas,36843,PRN20160001,6846,Notice of Intent ,Enduring Resources IV LLC,WPX - Kimbeto Wash UT No768/769/770/771,2016-03-22 11:53:00,,,4/21/2016 0:00,4/21/2016 0:00,2016-04-20 13:31:00,,,,2018-09-07 00:00:00,Active,30-045-35753,KIMBETO WASH UNIT #768H,"ENDURING RESOURCES, LLC",36.220704,-107.806937,"Enduring Resources - Kimbeto Wash UT No768,769,770,771",O&G-Production Facility,31.0,36.220703,-107.806936,10.6,18.9,94.3,2.1,,No,0
618,Marvin Mascarenas,36843,PRN20160001,6846,Notice of Intent ,Enduring Resources IV LLC,WPX - Kimbeto Wash UT No768/769/770/771,2016-03-22 11:53:00,,,4/21/2016 0:00,4/21/2016 0:00,2016-04-20 13:31:00,,,,2018-09-05 00:00:00,Active,30-045-35755,KIMBETO WASH UNIT #770H,"ENDURING RESOURCES, LLC",36.22058,-107.807071,"Enduring Resources - Kimbeto Wash UT No768,769,770,771",O&G-Production Facility,31.0,36.220703,-107.806936,10.6,18.9,94.3,2.1,,No,0
667,Kathleen Primm,37750,PRN20160001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2016-12-27 13:36:00,,,1/26/2017 0:00,1/26/2017 0:00,2017-01-26 14:27:00,,,8/14/2017 14:34,2017-04-17 00:00:00,Active,30-045-35816,W LYBROOK UNIT #755H,"ENDURING RESOURCES, LLC",36.224787,-107.75153600000002,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
668,Kathleen Primm,37750,PRN20160001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2016-12-27 13:36:00,,,1/26/2017 0:00,1/26/2017 0:00,2017-01-26 14:27:00,,,8/14/2017 14:34,2017-04-19 00:00:00,Active,30-045-35817,W LYBROOK UNIT #754H,"ENDURING RESOURCES, LLC",36.224846,-107.75165,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
669,Kathleen Primm,37750,PRN20160001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2016-12-27 13:36:00,,,1/26/2017 0:00,1/26/2017 0:00,2017-01-26 14:27:00,,,8/14/2017 14:34,2017-04-18 00:00:00,Active,30-045-35815,W LYBROOK UNIT #753H,"ENDURING RESOURCES, LLC",36.224816,-107.751593,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
670,Kathleen Primm,37750,PRN20160001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2016-12-27 13:36:00,,,1/26/2017 0:00,1/26/2017 0:00,2017-01-26 14:27:00,,,8/14/2017 14:34,2017-04-11 00:00:00,Active,30-045-35813,W LYBROOK UNIT #716H,"ENDURING RESOURCES, LLC",36.224697,-107.75136499999999,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
671,Kathleen Primm,37750,PRN20160001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2016-12-27 13:36:00,,,1/26/2017 0:00,1/26/2017 0:00,2017-01-26 14:27:00,,,8/14/2017 14:34,2017-04-10 00:00:00,Active,30-045-35774,W LYBROOK UNIT #718H,"ENDURING RESOURCES, LLC",36.224668,-107.75130800000001,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
672,Kathleen Primm,37750,PRN20160001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2016-12-27 13:36:00,,,1/26/2017 0:00,1/26/2017 0:00,2017-01-26 14:27:00,,,8/14/2017 14:34,2017-04-14 00:00:00,Active,30-045-35812,W LYBROOK UNIT #719H,"ENDURING RESOURCES, LLC",36.224727,-107.75142199999999,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
673,Denise Huff,37750,PRN20170001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2017-02-24 12:36:00,,,3/26/2017 0:00,3/26/2017 0:00,2017-03-24 16:55:00,,,8/14/2017 14:33,2017-04-17 00:00:00,Active,30-045-35816,W LYBROOK UNIT #755H,"ENDURING RESOURCES, LLC",36.224787,-107.75153600000002,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
674,Denise Huff,37750,PRN20170001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2017-02-24 12:36:00,,,3/26/2017 0:00,3/26/2017 0:00,2017-03-24 16:55:00,,,8/14/2017 14:33,2017-04-19 00:00:00,Active,30-045-35817,W LYBROOK UNIT #754H,"ENDURING RESOURCES, LLC",36.224846,-107.75165,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
675,Denise Huff,37750,PRN20170001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2017-02-24 12:36:00,,,3/26/2017 0:00,3/26/2017 0:00,2017-03-24 16:55:00,,,8/14/2017 14:33,2017-04-18 00:00:00,Active,30-045-35815,W LYBROOK UNIT #753H,"ENDURING RESOURCES, LLC",36.224816,-107.751593,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
676,Denise Huff,37750,PRN20170001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2017-02-24 12:36:00,,,3/26/2017 0:00,3/26/2017 0:00,2017-03-24 16:55:00,,,8/14/2017 14:33,2017-04-11 00:00:00,Active,30-045-35813,W LYBROOK UNIT #716H,"ENDURING RESOURCES, LLC",36.224697,-107.75136499999999,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
677,Denise Huff,37750,PRN20170001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2017-02-24 12:36:00,,,3/26/2017 0:00,3/26/2017 0:00,2017-03-24 16:55:00,,,8/14/2017 14:33,2017-04-10 00:00:00,Active,30-045-35774,W LYBROOK UNIT #718H,"ENDURING RESOURCES, LLC",36.224668,-107.75130800000001,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
678,Denise Huff,37750,PRN20170001,7227,Notice of Intent ,Enduring Resources IV LLC,WPX Energy - W Lybrook Remote Facility No141,2017-02-24 12:36:00,,,3/26/2017 0:00,3/26/2017 0:00,2017-03-24 16:55:00,,,8/14/2017 14:33,2017-04-14 00:00:00,Active,30-045-35812,W LYBROOK UNIT #719H,"ENDURING RESOURCES, LLC",36.224727,-107.75142199999999,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,No,0
679,Antonia Tallarico,37750,PRN20170002,7227M1,Regular-New ,Enduring Resources IV LLC,WPX Energy - W Lybrook UT NO716/718/719/753/754/755,2017-04-17 13:23:00,,5/16/2017 12:52,8/14/2017 0:00,8/14/2017 0:00,2017-08-14 09:18:00,,,,2017-04-17 00:00:00,Active,30-045-35816,W LYBROOK UNIT #755H,"ENDURING RESOURCES, LLC",36.224787,-107.75153600000002,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,Yes,1
680,Antonia Tallarico,37750,PRN20170002,7227M1,Regular-New ,Enduring Resources IV LLC,WPX Energy - W Lybrook UT NO716/718/719/753/754/755,2017-04-17 13:23:00,,5/16/2017 12:52,8/14/2017 0:00,8/14/2017 0:00,2017-08-14 09:18:00,,,,2017-04-19 00:00:00,Active,30-045-35817,W LYBROOK UNIT #754H,"ENDURING RESOURCES, LLC",36.224846,-107.75165,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,Yes,1
681,Antonia Tallarico,37750,PRN20170002,7227M1,Regular-New ,Enduring Resources IV LLC,WPX Energy - W Lybrook UT NO716/718/719/753/754/755,2017-04-17 13:23:00,,5/16/2017 12:52,8/14/2017 0:00,8/14/2017 0:00,2017-08-14 09:18:00,,,,2017-04-18 00:00:00,Active,30-045-35815,W LYBROOK UNIT #753H,"ENDURING RESOURCES, LLC",36.224816,-107.751593,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,Yes,1
682,Antonia Tallarico,37750,PRN20170002,7227M1,Regular-New ,Enduring Resources IV LLC,WPX Energy - W Lybrook UT NO716/718/719/753/754/755,2017-04-17 13:23:00,,5/16/2017 12:52,8/14/2017 0:00,8/14/2017 0:00,2017-08-14 09:18:00,,,,2017-04-11 00:00:00,Active,30-045-35813,W LYBROOK UNIT #716H,"ENDURING RESOURCES, LLC",36.224697,-107.75136499999999,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,Yes,1
683,Antonia Tallarico,37750,PRN20170002,7227M1,Regular-New ,Enduring Resources IV LLC,WPX Energy - W Lybrook UT NO716/718/719/753/754/755,2017-04-17 13:23:00,,5/16/2017 12:52,8/14/2017 0:00,8/14/2017 0:00,2017-08-14 09:18:00,,,,2017-04-10 00:00:00,Active,30-045-35774,W LYBROOK UNIT #718H,"ENDURING RESOURCES, LLC",36.224668,-107.75130800000001,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,Yes,1
684,Antonia Tallarico,37750,PRN20170002,7227M1,Regular-New ,Enduring Resources IV LLC,WPX Energy - W Lybrook UT NO716/718/719/753/754/755,2017-04-17 13:23:00,,5/16/2017 12:52,8/14/2017 0:00,8/14/2017 0:00,2017-08-14 09:18:00,,,,2017-04-14 00:00:00,Active,30-045-35812,W LYBROOK UNIT #719H,"ENDURING RESOURCES, LLC",36.224727,-107.75142199999999,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",O&G-Production Facility,12.0,36.224847,-107.75165,39.9,90.4,140.7,6.2,,Yes,1
687,Mary Gerhart,37787,PRN20170001,7237,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit K03-2309,2017-01-09 16:06:00,,,2/8/2017 0:00,2/8/2017 0:00,2017-02-06 13:41:00,,,,2017-05-26 00:00:00,Active,30-045-35841,NAGEEZI UNIT #405H,"DJR OPERATING, LLC",36.254185,-107.779468,DJR - Nageezi Unit K03-2309,O&G-Production Facility,5.0,36.254185,-107.77947,4.69,8.41,86.5,1.57,,No,0
688,Mary Gerhart,37787,PRN20170001,7237,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit K03-2309,2017-01-09 16:06:00,,,2/8/2017 0:00,2/8/2017 0:00,2017-02-06 13:41:00,,,,2017-05-30 00:00:00,Active,30-045-35842,NAGEEZI UNIT #406H,"DJR OPERATING, LLC",36.254226,-107.77951200000001,DJR - Nageezi Unit K03-2309,O&G-Production Facility,5.0,36.254185,-107.77947,4.69,8.41,86.5,1.57,,No,0
691,Tasha Burns,37893,PRN20170001,7318,Notice of Intent ,"Logos Operating, LLC",LOGOS - Heros 2308 09L Com 1H,2017-03-24 09:04:00,,,4/23/2017 0:00,4/23/2017 0:00,2017-04-18 17:04:00,,,,2018-04-25 00:00:00,Active,30-045-35687,HEROS 2308 09L COM #002H,"LOGOS OPERATING, LLC",36.238493,-107.69483999999999,LOGOS - Heros 2308 09L Well Pad,O&G-Production Facility,49.0,36.238493,-107.694942,10.7,19.76,20.5,1.07,,No,0
692,Tasha Burns,37893,PRN20170001,7318,Notice of Intent ,"Logos Operating, LLC",LOGOS - Heros 2308 09L Com 1H,2017-03-24 09:04:00,,,4/23/2017 0:00,4/23/2017 0:00,2017-04-18 17:04:00,,,,2018-04-26 00:00:00,Active,30-045-35848,HEROS 2308 09L COM #003H,"LOGOS OPERATING, LLC",36.238493,-107.69473799999999,LOGOS - Heros 2308 09L Well Pad,O&G-Production Facility,49.0,36.238493,-107.694942,10.7,19.76,20.5,1.07,,No,0
693,Tasha Burns,37893,PRN20170001,7318,Notice of Intent ,"Logos Operating, LLC",LOGOS - Heros 2308 09L Com 1H,2017-03-24 09:04:00,,,4/23/2017 0:00,4/23/2017 0:00,2017-04-18 17:04:00,,,,2018-06-06 00:00:00,Active,30-045-35877,HEROS 2308 09L COM #005H,"LOGOS OPERATING, LLC",36.238493,-107.69453500000002,LOGOS - Heros 2308 09L Well Pad,O&G-Production Facility,49.0,36.238493,-107.694942,10.7,19.76,20.5,1.07,,No,0
694,Tasha Burns,37893,PRN20170001,7318,Notice of Intent ,"Logos Operating, LLC",LOGOS - Heros 2308 09L Com 1H,2017-03-24 09:04:00,,,4/23/2017 0:00,4/23/2017 0:00,2017-04-18 17:04:00,,,,2018-05-04 00:00:00,Active,30-045-35847,HEROS 2308 09L COM #004H,"LOGOS OPERATING, LLC",36.238493,-107.69463700000001,LOGOS - Heros 2308 09L Well Pad,O&G-Production Facility,49.0,36.238493,-107.694942,10.7,19.76,20.5,1.07,,No,0
695,Tasha Burns,37893,PRN20170001,7318,Notice of Intent ,"Logos Operating, LLC",LOGOS - Heros 2308 09L Com 1H,2017-03-24 09:04:00,,,4/23/2017 0:00,4/23/2017 0:00,2017-04-18 17:04:00,,,,2017-01-21 00:00:00,Active,30-045-35688,HEROS 2308 09L COM #001H,"LOGOS OPERATING, LLC",36.238493,-107.694942,LOGOS - Heros 2308 09L Well Pad,O&G-Production Facility,49.0,36.238493,-107.694942,10.7,19.76,20.5,1.07,,Yes,1
706,Greg Tickle,37961,PRN20170001,7383,Notice of Intent ,Juniper Resources Exploration Company LLC,Juniper Resources - Pinon 305H Pad,2017-06-13 16:31:00,,,7/13/2017 0:00,7/13/2017 0:00,2017-06-27 16:00:00,,,,2017-05-09 00:00:00,Active,30-045-35638,PINON UNIT #306H,DUGAN PRODUCTION CORP,36.309412,-107.90874,Juniper Resources - Pinon 305H Pad,O&G-Production Facility,45.0,36.30940800000001,-107.908844,4.41,7.872000000000001,44.54,,,Yes,1
707,Greg Tickle,37961,PRN20170001,7383,Notice of Intent ,Juniper Resources Exploration Company LLC,Juniper Resources - Pinon 305H Pad,2017-06-13 16:31:00,,,7/13/2017 0:00,7/13/2017 0:00,2017-06-27 16:00:00,,,,2017-05-09 00:00:00,Active,30-045-35637,PINON UNIT #305H,DUGAN PRODUCTION CORP,36.309413,-107.90884199999999,Juniper Resources - Pinon 305H Pad,O&G-Production Facility,45.0,36.30940800000001,-107.908844,4.41,7.872000000000001,44.54,,,Yes,1
708,Denise Huff,38257,PRN20180001,7666,Notice of Intent ,"Logos Operating, LLC",Logos - Athena 2308 14L 1H and 2H,2018-01-31 11:16:00,,,3/2/2018 0:00,3/2/2018 0:00,2018-03-02 08:36:00,,,,2018-02-10 00:00:00,Active,30-045-35632,ATHENA 2308 14L #001H,"LOGOS OPERATING, LLC",36.225657,-107.658266,Logos - Athena 2308 14L Well Pad,O&G-Production Facility,67.0,36.225604,-107.658283,8.02,15.05,16.2,0.65,,Yes,1
709,Denise Huff,38257,PRN20180001,7666,Notice of Intent ,"Logos Operating, LLC",Logos - Athena 2308 14L 1H and 2H,2018-01-31 11:16:00,,,3/2/2018 0:00,3/2/2018 0:00,2018-03-02 08:36:00,,,,2018-02-10 00:00:00,Active,30-045-35633,ATHENA 2308 14L #002H,"LOGOS OPERATING, LLC",36.225604,-107.65828300000001,Logos - Athena 2308 14L Well Pad,O&G-Production Facility,67.0,36.225604,-107.658283,8.02,15.05,16.2,0.65,,Yes,1
710,Denise Huff,38257,PRN20180001,7666,Notice of Intent ,"Logos Operating, LLC",Logos - Athena 2308 14L 1H and 2H,2018-01-31 11:16:00,,,3/2/2018 0:00,3/2/2018 0:00,2018-03-02 08:36:00,,,,2018-06-07 00:00:00,Active,30-045-35876,ATHENA 2308 14L #003H,"LOGOS OPERATING, LLC",36.225737,-107.65824099999999,Logos - Athena 2308 14L Well Pad,O&G-Production Facility,67.0,36.225604,-107.658283,8.02,15.05,16.2,0.65,,No,0
717,Denise Huff,38352,PRN20180001,7758,Notice of Intent ,Enduring Resources IV LLC,WPX - Rodeo UT No508/509/510,2018-03-27 15:17:00,,,4/26/2018 0:00,4/26/2018 0:00,2018-04-20 16:03:00,,,,2018-09-25 00:00:00,Active,30-045-35871,RODEO UNIT #510H,"ENDURING RESOURCES, LLC",36.200912,-107.73291200000001,Enduring - Rodeo UT No508/509/510,O&G-Production Facility,83.0,36.200956,-107.732417,14.6,,81.3,4.0,0.11,No,0
718,Denise Huff,38352,PRN20180001,7758,Notice of Intent ,Enduring Resources IV LLC,WPX - Rodeo UT No508/509/510,2018-03-27 15:17:00,,,4/26/2018 0:00,4/26/2018 0:00,2018-04-20 16:03:00,,,,2018-09-26 00:00:00,Active,30-045-35880,RODEO UNIT #509H,"ENDURING RESOURCES, LLC",36.200941,-107.73297,Enduring - Rodeo UT No508/509/510,O&G-Production Facility,83.0,36.200956,-107.732417,14.6,,81.3,4.0,0.11,No,0
719,Denise Huff,38352,PRN20180001,7758,Notice of Intent ,Enduring Resources IV LLC,WPX - Rodeo UT No508/509/510,2018-03-27 15:17:00,,,4/26/2018 0:00,4/26/2018 0:00,2018-04-20 16:03:00,,,,2018-09-24 00:00:00,Active,30-045-35869,RODEO UNIT #508H,"ENDURING RESOURCES, LLC",36.200969,-107.733028,Enduring - Rodeo UT No508/509/510,O&G-Production Facility,83.0,36.200956,-107.732417,14.6,,81.3,4.0,0.11,No,0
722,Tasha Burns,38419,PRN20180001,7821,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit 501H and 502H,2018-04-30 10:34:00,5/30/2018 11:17,,5/30/2018 0:00,5/30/2018 0:00,2018-06-01 10:56:00,,,,2018-06-20 00:00:00,Active,30-045-35863,NAGEEZI UNIT #502H,"DJR OPERATING, LLC",36.256173,-107.772554,DJR - Nageezi Unit G03 2309 501H and 502H,O&G-Production Facility,6.0,36.256239,-107.772492,6.27,11.34,65.87,1.2,,No,0
723,Tasha Burns,38419,PRN20180001,7821,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit 501H and 502H,2018-04-30 10:34:00,5/30/2018 11:17,,5/30/2018 0:00,5/30/2018 0:00,2018-06-01 10:56:00,,,,2018-06-19 00:00:00,Active,30-045-35860,NAGEEZI UNIT #501H,"DJR OPERATING, LLC",36.256239,-107.7724942,DJR - Nageezi Unit G03 2309 501H and 502H,O&G-Production Facility,6.0,36.256239,-107.772492,6.27,11.34,65.87,1.2,,No,0
734,Tasha Burns,38425,PRN20180001,7822,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit 507H and 510H,2018-04-30 15:11:00,5/30/2018 11:18,,5/30/2018 0:00,5/30/2018 0:00,2018-06-01 12:21:00,,,,2019-10-14 00:00:00,Active,30-045-35858,NAGEEZI UNIT #509H,"DJR OPERATING, LLC",36.248044,-107.786627,DJR - Nageezi Unit 507H and 510H,O&G-Production Facility,0.0,36.248046,-107.786419,16.11,24.9,94.53,,,No,0
735,Tasha Burns,38425,PRN20180001,7822,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit 507H and 510H,2018-04-30 15:11:00,5/30/2018 11:18,,5/30/2018 0:00,5/30/2018 0:00,2018-06-01 12:21:00,,,,2018-06-23 00:00:00,Active,30-045-35862,NAGEEZI UNIT #510H,"DJR OPERATING, LLC",36.248044,-107.786725,DJR - Nageezi Unit 507H and 510H,O&G-Production Facility,0.0,36.248046,-107.786419,16.11,24.9,94.53,,,No,0
736,Tasha Burns,38425,PRN20180001,7822,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit 507H and 510H,2018-04-30 15:11:00,5/30/2018 11:18,,5/30/2018 0:00,5/30/2018 0:00,2018-06-01 12:21:00,,,,2019-10-10 00:00:00,Active,30-045-35859,NAGEEZI UNIT #508H,"DJR OPERATING, LLC",36.248044,-107.786519,DJR - Nageezi Unit 507H and 510H,O&G-Production Facility,0.0,36.248046,-107.786419,16.11,24.9,94.53,,,No,0
737,Tasha Burns,38425,PRN20180001,7822,Notice of Intent ,DJR Operating LLC - NM,Encana - Nageezi Unit 507H and 510H,2018-04-30 15:11:00,5/30/2018 11:18,,5/30/2018 0:00,5/30/2018 0:00,2018-06-01 12:21:00,,,,2018-06-22 00:00:00,Active,30-045-35855,NAGEEZI UNIT #507H,"DJR OPERATING, LLC",36.248046,-107.786419,DJR - Nageezi Unit 507H and 510H,O&G-Production Facility,0.0,36.248046,-107.786419,16.11,24.9,94.53,,,No,0
